task_id,task_name,difficulty,tags,language,result,pass_cnt,Memory,Runtime
71,Simplify Path,Medium,"String, Stack",c,Wrong Answer,121 / 261,,
71,Simplify Path,Medium,"String, Stack",cpp,Accepted,1 / 1,87.8,87.21
71,Simplify Path,Medium,"String, Stack",java,Accepted,1 / 1,87.18,98.15
71,Simplify Path,Medium,"String, Stack",python3,Accepted,1 / 1,99.76,71.96
72,Edit Distance,Medium,"String, Dynamic Programming",c,Accepted,1 / 1,35.19,50.0
72,Edit Distance,Medium,"String, Dynamic Programming",cpp,Accepted,1 / 1,33.77,24.54
72,Edit Distance,Medium,"String, Dynamic Programming",java,Accepted,1 / 1,96.96,66.2
72,Edit Distance,Medium,"String, Dynamic Programming",python3,Accepted,1 / 1,58.27,80.76
73,Set Matrix Zeroes,Medium,"Array, Hash Table, Matrix",c,Accepted,1 / 1,63.11,74.72
73,Set Matrix Zeroes,Medium,"Array, Hash Table, Matrix",cpp,Accepted,1 / 1,71.07,46.63
73,Set Matrix Zeroes,Medium,"Array, Hash Table, Matrix",java,Accepted,1 / 1,20.59,100.0
73,Set Matrix Zeroes,Medium,"Array, Hash Table, Matrix",python3,Accepted,1 / 1,94.19,21.38
74,Search a 2D Matrix,Medium,"Array, Binary Search, Matrix",c,Accepted,1 / 1,9.62,49.43
74,Search a 2D Matrix,Medium,"Array, Binary Search, Matrix",cpp,Accepted,1 / 1,48.44,21.7
74,Search a 2D Matrix,Medium,"Array, Binary Search, Matrix",java,Accepted,1 / 1,70.31,100.0
74,Search a 2D Matrix,Medium,"Array, Binary Search, Matrix",python3,Accepted,1 / 1,26.73,24.61
75,Sort Colors,Medium,"Array, Two Pointers, Sorting",c,Accepted,1 / 1,98.96,50.62
75,Sort Colors,Medium,"Array, Two Pointers, Sorting",cpp,Accepted,1 / 1,33.64,100.0
75,Sort Colors,Medium,"Array, Two Pointers, Sorting",java,Accepted,1 / 1,88.85,100.0
75,Sort Colors,Medium,"Array, Two Pointers, Sorting",python3,Accepted,1 / 1,81.04,45.68
76,Minimum Window Substring,Hard,"Hash Table, String, Sliding Window",c,Accepted,1 / 1,91.62,52.1
76,Minimum Window Substring,Hard,"Hash Table, String, Sliding Window",cpp,Accepted,1 / 1,26.62,35.57
76,Minimum Window Substring,Hard,"Hash Table, String, Sliding Window",java,Accepted,1 / 1,43.76,42.2
76,Minimum Window Substring,Hard,"Hash Table, String, Sliding Window",python3,Accepted,1 / 1,99.92,58.99
77,Combinations,Medium,Backtracking,c,Runtime Error,26 / 27,,
77,Combinations,Medium,Backtracking,cpp,Accepted,1 / 1,81.07,66.2
77,Combinations,Medium,Backtracking,java,Accepted,1 / 1,49.8,76.14
77,Combinations,Medium,Backtracking,python3,Accepted,1 / 1,53.13,93.43
78,Subsets,Medium,"Array, Backtracking, Bit Manipulation",c,Accepted,1 / 1,44.59,16.16
78,Subsets,Medium,"Array, Backtracking, Bit Manipulation",cpp,Accepted,1 / 1,93.1,100.0
78,Subsets,Medium,"Array, Backtracking, Bit Manipulation",java,Accepted,1 / 1,70.92,100.0
78,Subsets,Medium,"Array, Backtracking, Bit Manipulation",python3,Accepted,1 / 1,74.5,43.69
79,Word Search,Medium,"Array, String, Backtracking, Matrix",c,Accepted,1 / 1,54.13,59.51
79,Word Search,Medium,"Array, String, Backtracking, Matrix",cpp,Accepted,1 / 1,59.2,41.42
79,Word Search,Medium,"Array, String, Backtracking, Matrix",java,Accepted,1 / 1,69.51,89.13
79,Word Search,Medium,"Array, String, Backtracking, Matrix",python3,Accepted,1 / 1,62.13,84.41
80,Remove Duplicates from Sorted Array II,Medium,"Array, Two Pointers",c,Accepted,1 / 1,76.24,24.46
80,Remove Duplicates from Sorted Array II,Medium,"Array, Two Pointers",cpp,Accepted,1 / 1,39.89,20.54
80,Remove Duplicates from Sorted Array II,Medium,"Array, Two Pointers",java,Accepted,1 / 1,84.41,100.0
80,Remove Duplicates from Sorted Array II,Medium,"Array, Two Pointers",python3,Accepted,1 / 1,99.54,29.44
81,Search in Rotated Sorted Array II,Medium,"Array, Binary Search",c,Accepted,1 / 1,7.38,100.0
81,Search in Rotated Sorted Array II,Medium,"Array, Binary Search",cpp,Accepted,1 / 1,5.54,80.11
81,Search in Rotated Sorted Array II,Medium,"Array, Binary Search",java,Accepted,1 / 1,40.66,100.0
81,Search in Rotated Sorted Array II,Medium,"Array, Binary Search",python3,Accepted,1 / 1,46.73,24.61
82,Remove Duplicates from Sorted List II,Medium,"Linked List, Two Pointers",c,Accepted,1 / 1,92.78,100.0
82,Remove Duplicates from Sorted List II,Medium,"Linked List, Two Pointers",cpp,Accepted,1 / 1,40.7,88.41
82,Remove Duplicates from Sorted List II,Medium,"Linked List, Two Pointers",java,Accepted,1 / 1,46.24,100.0
82,Remove Duplicates from Sorted List II,Medium,"Linked List, Two Pointers",python3,Accepted,1 / 1,93.14,8.7
83,Remove Duplicates from Sorted List,Easy,Linked List,c,Accepted,1 / 1,11.05,28.44
83,Remove Duplicates from Sorted List,Easy,Linked List,cpp,Accepted,1 / 1,20.08,67.49
83,Remove Duplicates from Sorted List,Easy,Linked List,java,Accepted,1 / 1,88.52,100.0
83,Remove Duplicates from Sorted List,Easy,Linked List,python3,Accepted,1 / 1,91.57,5.57
84,Largest Rectangle in Histogram,Hard,"Array, Stack, Monotonic Stack",c,Runtime Error,2 / 99,,
84,Largest Rectangle in Histogram,Hard,"Array, Stack, Monotonic Stack",cpp,Compile Error,0 / 0,,
84,Largest Rectangle in Histogram,Hard,"Array, Stack, Monotonic Stack",java,Accepted,1 / 1,87.73,97.8
84,Largest Rectangle in Histogram,Hard,"Array, Stack, Monotonic Stack",python3,Accepted,1 / 1,97.42,85.88
85,Maximal Rectangle,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",c,Accepted,1 / 1,27.95,85.75
85,Maximal Rectangle,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",cpp,Accepted,1 / 1,37.94,64.47
85,Maximal Rectangle,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",java,Accepted,1 / 1,45.95,66.01
85,Maximal Rectangle,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",python3,Accepted,1 / 1,97.26,98.43
86,Partition List,Medium,"Linked List, Two Pointers",c,Accepted,1 / 1,24.46,49.28
86,Partition List,Medium,"Linked List, Two Pointers",cpp,Accepted,1 / 1,31.98,76.44
86,Partition List,Medium,"Linked List, Two Pointers",java,Accepted,1 / 1,60.98,100.0
86,Partition List,Medium,"Linked List, Two Pointers",python3,Accepted,1 / 1,54.98,37.18
87,Scramble String,Hard,"String, Dynamic Programming",c,Accepted,1 / 1,6.25,84.38
87,Scramble String,Hard,"String, Dynamic Programming",cpp,Time Limit Exceeded,286 / 290,,
87,Scramble String,Hard,"String, Dynamic Programming",java,Time Limit Exceeded,286 / 290,,
87,Scramble String,Hard,"String, Dynamic Programming",python3,Accepted,1 / 1,45.11,75.43
88,Merge Sorted Array,Easy,"Array, Two Pointers, Sorting",c,Accepted,1 / 1,59.81,100.0
88,Merge Sorted Array,Easy,"Array, Two Pointers, Sorting",cpp,Accepted,1 / 1,71.66,27.82
88,Merge Sorted Array,Easy,"Array, Two Pointers, Sorting",java,Accepted,1 / 1,48.49,100.0
88,Merge Sorted Array,Easy,"Array, Two Pointers, Sorting",python3,Accepted,1 / 1,6.29,78.24
89,Gray Code,Medium,"Math, Backtracking, Bit Manipulation",c,Accepted,1 / 1,36.27,9.84
89,Gray Code,Medium,"Math, Backtracking, Bit Manipulation",cpp,Accepted,1 / 1,83.39,71.28
89,Gray Code,Medium,"Math, Backtracking, Bit Manipulation",java,Accepted,1 / 1,86.83,85.83
89,Gray Code,Medium,"Math, Backtracking, Bit Manipulation",python3,Accepted,1 / 1,70.49,29.69
90,Subsets II,Medium,"Array, Backtracking, Bit Manipulation",c,Accepted,1 / 1,75.76,92.42
90,Subsets II,Medium,"Array, Backtracking, Bit Manipulation",cpp,Accepted,1 / 1,67.37,49.05
90,Subsets II,Medium,"Array, Backtracking, Bit Manipulation",java,Accepted,1 / 1,25.28,39.48
90,Subsets II,Medium,"Array, Backtracking, Bit Manipulation",python3,Accepted,1 / 1,83.3,37.47
91,Decode Ways,Medium,"String, Dynamic Programming",c,Accepted,1 / 1,74.22,100.0
91,Decode Ways,Medium,"String, Dynamic Programming",cpp,Accepted,1 / 1,75.68,100.0
91,Decode Ways,Medium,"String, Dynamic Programming",java,Accepted,1 / 1,93.33,79.42
91,Decode Ways,Medium,"String, Dynamic Programming",python3,Runtime Error,0 / 269,,
92,Reverse Linked List II,Medium,Linked List,c,Accepted,1 / 1,84.16,51.81
92,Reverse Linked List II,Medium,Linked List,cpp,Accepted,1 / 1,54.59,38.28
92,Reverse Linked List II,Medium,Linked List,java,Accepted,1 / 1,84.68,100.0
92,Reverse Linked List II,Medium,Linked List,python3,Accepted,1 / 1,52.85,67.66
93,Restore IP Addresses,Medium,"String, Backtracking",c,Accepted,1 / 1,52.38,100.0
93,Restore IP Addresses,Medium,"String, Backtracking",cpp,Accepted,1 / 1,57.18,100.0
93,Restore IP Addresses,Medium,"String, Backtracking",java,Accepted,1 / 1,33.99,26.97
93,Restore IP Addresses,Medium,"String, Backtracking",python3,Runtime Error,0 / 146,,
94,Binary Tree Inorder Traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",c,Accepted,1 / 1,77.22,53.05
94,Binary Tree Inorder Traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",cpp,Accepted,1 / 1,72.1,100.0
94,Binary Tree Inorder Traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",java,Accepted,1 / 1,71.47,100.0
94,Binary Tree Inorder Traversal,Easy,"Stack, Tree, Depth-First Search, Binary Tree",python3,Accepted,1 / 1,20.59,64.43
95,Unique Binary Search Trees II,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",c,Accepted,1 / 1,18.87,5.66
95,Unique Binary Search Trees II,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",cpp,Accepted,1 / 1,43.84,14.29
95,Unique Binary Search Trees II,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",java,Accepted,1 / 1,97.61,97.27
95,Unique Binary Search Trees II,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",python3,Accepted,1 / 1,34.7,49.28
96,Unique Binary Search Trees,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",c,Accepted,1 / 1,51.63,100.0
96,Unique Binary Search Trees,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",cpp,Accepted,1 / 1,48.56,30.51
96,Unique Binary Search Trees,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",java,Accepted,1 / 1,81.9,100.0
96,Unique Binary Search Trees,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",python3,Accepted,1 / 1,94.43,87.89
97,Interleaving String,Medium,"String, Dynamic Programming",c,Accepted,1 / 1,69.07,100.0
97,Interleaving String,Medium,"String, Dynamic Programming",cpp,Accepted,1 / 1,70.43,72.66
97,Interleaving String,Medium,"String, Dynamic Programming",java,Accepted,1 / 1,99.71,61.05
97,Interleaving String,Medium,"String, Dynamic Programming",python3,Accepted,1 / 1,98.88,41.26
98,Validate Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",c,Accepted,1 / 1,52.9,93.43
98,Validate Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",cpp,Accepted,1 / 1,29.08,21.57
98,Validate Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",java,Accepted,1 / 1,76.13,23.75
98,Validate Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",python3,Accepted,1 / 1,76.35,66.55
99,Recover Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",c,Accepted,1 / 1,59.77,90.8
99,Recover Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",cpp,Accepted,1 / 1,5.76,12.92
99,Recover Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",java,Wrong Answer,1918 / 1919,,
99,Recover Binary Search Tree,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",python3,Accepted,1 / 1,100.0,65.42
100,Same Tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",c,Accepted,1 / 1,91.82,35.06
100,Same Tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",cpp,Compile Error,0 / 0,,
100,Same Tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",java,Accepted,1 / 1,22.63,100.0
100,Same Tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",python3,Accepted,1 / 1,8.38,65.2
